ad_id,date_published,typology,asking_price_sek,land_area_sqm,living_area_sqm,sqm_price_sek,number_rooms,address,location,coordenates
21461313,2024-12-27,HOUSE,4895000.0,2561.0,147.0,1911.36,4.0,Bondvägen 99,"VENDELSÖ, Haninge kommun","59.1976952,18.2389185"
21461047,2024-12-27,APARTMENT,1895000.0,0.0,64.0,29609.0,3.0,Fyrfatsvägen 25B,"Kästa, Huddinge kommun","59.22777,17.9196873"
21461378,2024-12-27,APARTMENT,1790000.0,0.0,36.0,49722.0,1.0,Brahegatan 8A,"Gamlestaden, Göteborgs kommun","57.72997,12.01256"
21461262,2024-12-27,HOUSE,2795000.0,1275.0,190.0,2192.16,5.0,Thermiavägen 19,"Högåsen, Arvika kommun","59.6629840678,12.5902033783"
21461359,2024-12-27,APARTMENT,2850000.0,0.0,46.5,61290.0,1.5,Bankgatan 13,"Lund - Centrum, Lunds kommun","55.699234,13.1961136"
21461336,2024-12-27,APARTMENT,2695000.0,0.0,57.5,46870.0,2.0,Vendergatan 19,"Kungälv - Centrum, Kungälvs kommun","57.87403,11.9696226"
21461338,2024-12-27,APARTMENT,850000.0,0.0,38.0,22368.0,1.5,Bomansgatan 16B,"Kristiansborg, Västerås kommun","59.6226663,16.5491335"
21383380,2024-12-27,APARTMENT,1945000.0,0.0,54.0,36019.0,2.0,Envägen 2,"Diseröd, Kungälvs kommun","57.9250946,12.0265541"
21461362,2024-12-27,APARTMENT,1800000.0,0.0,50.0,36000.0,2.0,Årstagatan 43,"Sala backe, Uppsala kommun","59.865612,17.67211"
21324403,2024-12-27,APARTMENT,1295000.0,0.0,26.5,48868.0,1.0,Kopparvägen 49,"Kallhäll, Järfälla kommun","59.45666619999999,17.8136662"
21022355,2024-12-27,APARTMENT,5950000.0,0.0,86.4,68866.0,4.0,Lillkullegatan 31,"Skår, Göteborgs kommun","57.70016,12.0086346"
21461406,2024-12-27,APARTMENT,1195000.0,0.0,24.0,49792.0,1.0,Terapivägen 18D,"Flemingsberg, Huddinge kommun","59.2212639,17.945961"
21461310,2024-12-27,APARTMENT,320000.0,0.0,56.5,5664.0,2.0,Storgatan 16,"Tibro, Tibro kommun","58.4215775,14.1680307"
21461215,2024-12-27,APARTMENT,1995000.0,0.0,36.6,54508.0,1.0,Sofiagatan 52E,"Strömmensberg, Göteborgs kommun","57.7204,12.0205784"
21461395,2024-12-27,APARTMENT,2195000.0,0.0,64.0,34297.0,2.0,Nygatan 9,"Haga, Karlstads kommun","59.3822861,13.5120659"
21461407,2024-12-27,APARTMENT,1350000.0,0.0,69.0,19565.0,2.5,Solhemsvägen 2,"Västerhaninge, Haninge kommun","59.11539612090874,18.10216856001864"
21461393,2024-12-27,HOUSE,4495000.0,732.0,195.0,6140.71,4.0,Torsbygatan 3,"Norrstrand, Karlstads kommun","59.3915863,13.5275011"
17225303,2024-12-27,APARTMENT,3600000.0,0.0,82.0,43902.0,3.0,Maj på Malös gata 40,"Eriksberg, Göteborgs kommun","57.69843,11.906364"
21461176,2024-12-27,APARTMENT,850000.0,0.0,78.5,10828.0,3.0,Frontgatan 5C,"Fredriksdal, Helsingborgs kommun","56.05999,12.7191572"
21461442,2024-12-27,APARTMENT,1195000.0,0.0,76.5,15621.0,3.0,Hantverkaregatan 33,"Söder, Helsingborgs kommun","56.0380669,12.7055283"
21461398,2024-12-27,HOUSE,8750000.0,611.0,296.0,14320.79,8.0,Saturnusgatan 29,"Planetstaden, Lunds kommun","55.69544,13.2138386"
21461443,2024-12-27,APARTMENT,875000.0,0.0,40.0,21875.0,1.0,Bruksgatan 31A,"Ängelholm, Ängelholms kommun","56.2473755,12.8726311"
21461408,2024-12-27,APARTMENT,2695000.0,0.0,58.0,46466.0,2.0,Astris gata 80,"Eriksberg, Göteborgs kommun","57.69951524087743,11.90324559710249"
21461468,2024-12-27,APARTMENT,1495000.0,0.0,33.0,45303.0,1.0,S:t Johannesgatan 36A,"LUTHAGEN, Uppsala kommun","59.85519,17.6135883"
21418354,2024-12-27,APARTMENT,1395000.0,0.0,37.0,37703.0,1.0,Birgittavägen 25,"Järfälla, Järfälla kommun","59.42324,17.8449"
21461232,2024-12-27,APARTMENT,1350000.0,0.0,33.0,40909.0,1.0,Sundsta torg 5,"Sundsta, Karlstads kommun","59.38856,13.514142"
21459939,2024-12-27,APARTMENT,2495000.0,0.0,91.0,27418.0,4.0,Övralidsgatan 17,"Hisings Backa, Göteborgs kommun","57.75411,11.9755268"
21461425,2024-12-27,HOUSE,4495000.0,696.0,138.0,6458.33,4.0,Liljanstorpsvägen 39,"Norra Gryta, Västerås kommun","59.65651,16.5544758"
21461400,2024-12-27,APARTMENT,5495000.0,0.0,90.0,61056.0,4.0,Lokomobilvägen 2G,"Nacka Strand, Nacka kommun","59.31463,18.164282"
21461455,2024-12-27,APARTMENT,1895000.0,0.0,111.0,17072.0,5.0,Skräddaretorpsvägen 21B,"Skälby, Kalmar kommun","56.6855469,16.3334618"
21461467,2024-12-27,APARTMENT,875000.0,0.0,88.0,9943.0,3.0,Södra Ringvägen 44C,"Kristinehamn, Kristinehamns kommun","59.30691,14.11855"
20397120,2024-12-27,APARTMENT,1750000.0,0.0,34.0,51471.0,2.0,Kastanjegatan 19F,"Lund - Centrum, Lunds kommun","55.69577,13.2013044"
